sale_id;data_venda;ano;mes;loja;bairro_entrega;canal;tipo_cliente;categoria;produto;unidade;quantidade;custo_unitario;preco_venda_unitario;promocao;perda_quebra_custo;receita_total;custo_total;lucro_total;margem_lucro;fornecedor;forma_pagamento
HF202500001;2025-09-07;2025;9;Hortfruit Vila Mariana;Brooklin;Delivery app;Cozinha industrial;Legume;Vagem;kg;7,68;11.5;18.99;0;0,0;145,84;88,32;57,52;0,3944;Importadora;Débito
HF202500002;2025-09-03;2025;9;Hortfruit Tatuapé;Santo Amaro;Retirada;Padaria;Fruta;Maracujá;kg;3,37;6.0;9.5;1;0,0;32,02;20,22;11,8;0,3685;Importadora;Pix
HF202500003;2025-10-10;2025;10;Hortfruit Santana;Brooklin;Delivery app;Restaurante;Verdura;Repolho;kg;14,25;3.5;6.0;0;0,0;85,5;49,88;35,62;0,4166;Cooperativa;Dinheiro
HF202500004;2025-04-24;2025;4;Hortfruit Santo Amaro;Tatuapé;Retirada;Padaria;Legume;Batata doce;kg;4,48;3.5;4.99;1;0,0;22,36;15,68;6,68;0,2987;Distribuidor regional;Dinheiro
HF202500005;2025-07-24;2025;7;Hortfruit Santo Amaro;Santana;Delivery app;Restaurante;Verdura;  Couve manteiga  ;maço;12,0;2.5;3.5;1;0,0;42,0;30,0;12,0;0,2857;Importadora;Vale-alimentação
HF202500006;2025-03-22;2025;3;Hortfruit Moema;Ipiranga;Delivery app;Mercado;Verdura;Repolho;kg;19,48;1.99;3.99;0;0,0;77,73;38,77;38,96;0,5012;CEAGESP (atacado);Débito
HF202500007;2025-12-09;2025;12;Hortfruit Santo Amaro;Vila Mariana;Retirada;Padaria;Fruta;Goiaba;kg;7,83;7.0;11.99;0;0,0;93,88;54,81;39,07;0,4162;Importadora;Débito
HF202500008;2025-03-08;2025;3;Hortfruit Vila Mariana;Bela Vista;Loja física;Cozinha industrial;Fruta;Mamão papaya;kg;13,7;5.0;8.0;1;0,0;109,6;68,5;41,1;0,375;Cooperativa;Pix
HF202500009;2025-02-22;2025;2;Hortfruit Santo Amaro;Bela Vista;Feira (parceiro);Restaurante;Fruta;Morango;bandeja;9,0;6.5;9.5;0;0,0;85,5;58,5;27,0;0,3158;Importadora;Vale-alimentação
HF202500010;2025-03-10;2025;3;Hortfruit Santo Amaro;Ipiranga;Feira (parceiro);Cozinha industrial;Legume;Couve-flor;un;7,0;6.5;8.0;0;0,0;56,0;45,5;10,5;0,1875;Produtor local;Dinheiro
HF202500011;2025-12-09;2025;12;Hortfruit Pinheiros;Moema;WhatsApp;Cozinha industrial;Legume;Alho;kg;8,0;20.5;28.5;0;0,0;228,0;164,0;64,0;0,2807;Cooperativa;Débito
HF202500012;2025-10-16;2025;10;Hortfruit Vila Mariana;Tatuapé;Retirada;Lanchonete;Fruta;Tangerina ponkan;kg;4,4;3.99;6.0;1;0,0;26,4;17,56;8,84;0,3348;Produtor local;Dinheiro
HF202500013;2025-03-21;2025;3;Hortfruit Santana;Santana;Feira (parceiro);Mercado;verdura;Rúcula;maço;10,0;3.0;5.0;0;0,0;50,0;30,0;20,0;0,4;Importadora;Dinheiro
HF202500014;2025-02-25;2025;2;Hortfruit Santo Amaro;Moema;Retirada;Mercado;Verdura;Cheiro-verde;maço;8,0;1.99;3.0;1;0,0;24,0;15,92;8,08;0,3367;Cooperativa;Crédito
HF202500015;2025-01-31;2025;1;Hortfruit Santo Amaro;Tatuapé;Feira (parceiro);Lanchonete;Fruta;Manga palmer;kg;15,02;6.0;10.5;0;0,0;157,71;90,12;67,59;0,4286;Importadora;Débito
HF202500016;2025-08-28;2025;8;Hortfruit Moema;Pinheiros;Loja física;PF;Legume;Tomate cereja;bandeja;13,0;8.0;10.0;0;0,0;130,0;104,0;26,0;0,2;Importadora;Dinheiro
HF202500017;2025-05-03;2025;5;Hortfruit Pinheiros;Santo Amaro;Loja física;Padaria;Verdura;Repolho;kg;19,74;2.0;3.5;0;9,87;69,09;39,48;19,74;0,2857;Distribuidor regional;Pix
HF202500018;2025-08-27;2025;8;Hortfruit Pinheiros;Santana;Feira (parceiro);Padaria;Fruta;Uva vitória;kg;16,36;15.5;23.5;0;0,0;384,46;253,58;130,88;0,3404;Cooperativa;Débito
HF202500019;2025-02-17;2025;2;Hortfruit Vila Mariana;Pinheiros;Loja física;PF;Verdura;Manjericão;maço;5,0;3.5;5.99;0;0,0;29,95;17,5;12,45;0,4157;Importadora;Pix
HF202500020;2025-12-06;2025;12;Hortfruit Tatuapé;Bela Vista;WhatsApp;Restaurante;Legume;Cebola;kg;17,05;2.5;4.5;0;0,0;76,73;42,62;34,11;0,4445;Cooperativa;Dinheiro
HF202500021;2025-08-29;2025;8;Hortfruit Tatuapé;Pinheiros;Retirada;Mercado;Verdura;Salsinha;maço;24,0;1.99;2.5;0;0,0;60,0;47,76;12,24;0,204;Produtor local;Pix
HF202500022;2025-01-01;2025;1;Hortfruit Tatuapé;Brooklin;WhatsApp;Lanchonete;Fruta;Limão taiti;kg;11,36;5.0;8.99;0;0,0;102,13;56,8;45,33;0,4438;Importadora;Débito
HF202500023;2025-08-29;2025;8;Hortfruit Santo Amaro;Ipiranga;Loja física;Cozinha industrial;Fruta;Uva itália;kg;14,52;11.5;13.99;1;0,0;203,13;166,98;36,15;0,178;Importadora;Pix
HF202500024;2025-02-25;2025;2;Hortfruit Santana;Bela Vista;Feira (parceiro);Mercado;Fruta;Melão amarelo;kg;2,48;3.99;6.5;0;0,0;16,12;9,9;6,22;0,3859;Importadora;Débito
HF202500025;2025-11-31;2025;3;Hortfruit Vila Mariana;Santana;Feira (parceiro);Restaurante;Fruta;Banana prata;kg;9,66;5.99;7.0;0;0,0;67,62;57,86;9,76;0,1443;Produtor local;Débito
HF202500026;2025-05-30;2025;5;Hortfruit Tatuapé;Santo Amaro;Loja física;Lanchonete;Legume;Alho;kg;12,21;16.5;28.99;0;0,0;353,97;201,47;152,5;0,4308;Importadora;Vale-alimentação
HF202500027;2025-12-15;2025;12;Hortfruit Moema;Vila Mariana;Retirada;Mercado;Fruta;Banana prata;kg;12,1;6.0;9.5;0;0,0;114,95;72,6;42,35;0,3684;Produtor local;Dinheiro
HF202500028;2025-12-07;2025;12;Hortfruit Vila Mariana;Moema;Feira (parceiro);Restaurante;Fruta;Mamão papaya;kg;6,12;6.0;8.5;0;0,0;52,02;36,72;15,3;0,2941;Produtor local;Pix
